pathway_id	pathway_name	source	source_version	filled_date_utc
GO:0140827	zinc chaperone activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140861	DNA repair-dependent chromatin remodeling	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140899	plastid gene expression	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140933	5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140936	histone H2B deubiquitinase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140950	histone H2A deubiquitinase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140951	histone H3K27 trimethyltransferase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140953	histone H3K27 monomethyltransferase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140964	intracellular auxin homeostasis	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140999	histone H3K4 trimethyltransferase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0141010	transposable element silencing by siRNA-mediated DNA methylation	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0141046	Atg8-family conjugating enzyme activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0141100	tRNA (guanine(18)-2'-O-ribose)-methyltransferase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0141106	tRNA methyltransferase activator activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0141131	DNA N6-methyladenine demethylase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0141133	diphthine methyl ester synthase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0141148	enoyl-[acyl-carrier-protein] reductase (NADPH) activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0141152	glycerol-3-phosphate dehydrogenase (NAD+) activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
